trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.99}",30,0,-154.63198276490823,"{0: 17, 1: 5, 2: 5, 3: 1, 4: 2}",0
2,False,"{'a': 0.5, 'e': 0.9801}",25,0,-83.40272351677099,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.970299}",25,0,-224.97156012090238,"{0: 14, 1: 0, 2: 6, 3: 1, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.96059601}",20,0,-116.59861083299785,"{0: 11, 1: 1, 2: 5, 3: 2, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.9509900498999999}",25,0,-166.77371523240416,"{0: 12, 1: 3, 2: 6, 3: 3, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.941480149401}",35,0,-277.45366604841234,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 6}",0
7,False,"{'a': 0.5, 'e': 0.9320653479069899}",20,0,-26.42293039799328,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.9227446944279201}",20,0,-124.25348506374743,"{0: 14, 1: 0, 2: 2, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 0.9135172474836408}",20,0,-71.43962203886812,"{0: 14, 1: 1, 2: 2, 3: 3, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.9043820750088044}",20,0,-140.03433002368453,"{0: 11, 1: 1, 2: 5, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.8953382542587164}",20,0,-88.15080725748764,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.8863848717161292}",20,0,-38.36238965465796,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.8775210229989678}",25,15,-47.42817608569438,"{0: 8, 1: 0, 2: 0, 3: 1, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.8687458127689782}",25,1,-126.36179767030865,"{0: 18, 1: 1, 2: 2, 3: 0, 4: 3}",1
15,False,"{'a': 0.5, 'e': 0.8600583546412884}",25,0,-89.88079770266526,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.8514577710948755}",30,0,-41.83377798620995,"{0: 24, 1: 2, 2: 3, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.8429431933839268}",25,0,-123.94079989655522,"{0: 14, 1: 2, 2: 7, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.8345137614500875}",20,0,-88.06039454143334,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.8261686238355866}",30,0,-80.32173105912328,"{0: 22, 1: 3, 2: 3, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.8179069375972308}",20,0,-103.02769126073179,"{0: 14, 1: 0, 2: 4, 3: 0, 4: 2}",0
21,False,"{'a': 0.5, 'e': 0.8097278682212584}",20,8,-93.76761143172364,"{0: 6, 1: 3, 2: 1, 3: 0, 4: 2}",1
22,False,"{'a': 0.5, 'e': 0.8016305895390459}",35,15,-87.4528291232671,"{0: 14, 1: 0, 2: 3, 3: 2, 4: 1}",1
23,False,"{'a': 0.5, 'e': 0.7936142836436554}",25,0,-32.872044910246544,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
24,False,"{'a': 0.5, 'e': 0.7856781408072188}",20,0,-19.143711205438994,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",0
25,False,"{'a': 0.5, 'e': 0.7778213593991467}",20,0,-138.9549516244555,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
26,False,"{'a': 0.5, 'e': 0.7700431458051551}",25,0,-34.96496647419902,"{0: 18, 1: 2, 2: 5, 3: 0, 4: 0}",0
27,False,"{'a': 0.5, 'e': 0.7623427143471035}",30,13,-41.570810961548354,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 0}",1
28,False,"{'a': 0.5, 'e': 0.7547192872036326}",25,15,-58.54806154139283,"{0: 7, 1: 0, 2: 1, 3: 1, 4: 1}",1
29,False,"{'a': 0.5, 'e': 0.7471720943315961}",25,6,4.747729225889735,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 0}",1
30,False,"{'a': 0.5, 'e': 0.7397003733882802}",20,0,-84.75610633910314,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
31,False,"{'a': 0.5, 'e': 0.7323033696543975}",25,0,-148.97685021010793,"{0: 16, 1: 3, 2: 3, 3: 0, 4: 3}",0
32,False,"{'a': 0.5, 'e': 0.7249803359578534}",35,3,-73.0788742696083,"{0: 24, 1: 2, 2: 4, 3: 1, 4: 1}",1
33,False,"{'a': 0.5, 'e': 0.7177305325982749}",25,0,-92.58123949140406,"{0: 13, 1: 6, 2: 4, 3: 2, 4: 0}",0
34,False,"{'a': 0.5, 'e': 0.7105532272722921}",20,0,-98.27983454036719,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 2}",0
35,False,"{'a': 0.5, 'e': 0.7034476949995692}",20,0,-43.10332667631594,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
36,False,"{'a': 0.5, 'e': 0.6964132180495735}",25,0,-51.06923594741323,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
37,False,"{'a': 0.5, 'e': 0.6894490858690777}",30,3,-130.1402355373769,"{0: 19, 1: 0, 2: 4, 3: 2, 4: 2}",1
38,False,"{'a': 0.5, 'e': 0.682554595010387}",25,0,-166.31827984480185,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
39,False,"{'a': 0.5, 'e': 0.6757290490602831}",20,2,-4.896464392557324,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
40,False,"{'a': 0.5, 'e': 0.6689717585696803}",20,0,4.154515656496437,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
41,False,"{'a': 0.5, 'e': 0.6622820409839835}",25,0,-118.50391687096061,"{0: 17, 1: 1, 2: 5, 3: 0, 4: 2}",0
42,False,"{'a': 0.5, 'e': 0.6556592205741436}",25,0,-39.45256972586112,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
43,False,"{'a': 0.5, 'e': 0.6491026283684022}",20,0,-16.35622895202715,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
44,False,"{'a': 0.5, 'e': 0.6426116020847181}",20,0,-74.52662614260888,"{0: 13, 1: 2, 2: 4, 3: 0, 4: 1}",0
45,False,"{'a': 0.5, 'e': 0.6361854860638709}",20,5,-50.39517674772791,"{0: 10, 1: 2, 2: 2, 3: 0, 4: 1}",1
46,False,"{'a': 0.5, 'e': 0.6298236312032323}",25,17,4.092014318911291,"{0: 7, 1: 1, 2: 0, 3: 0, 4: 0}",1
47,False,"{'a': 0.5, 'e': 0.6235253948912}",20,0,-36.28143074045286,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.617290140942288}",25,19,7.425330558200702,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
49,False,"{'a': 0.5, 'e': 0.611117239532865}",30,6,-105.21095304884491,"{0: 17, 1: 2, 2: 2, 3: 1, 4: 2}",1
50,False,"{'a': 0.5, 'e': 0.6050060671375364}",30,21,-6.374045837090124,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
51,False,"{'a': 0.5, 'e': 0.598956006466161}",25,0,-54.109489031818676,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 1}",1
52,False,"{'a': 0.5, 'e': 0.5929664464014994}",20,0,-15.683011485057738,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
53,False,"{'a': 0.5, 'e': 0.5870367819374844}",30,9,-62.310582158571144,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 1}",1
54,False,"{'a': 0.5, 'e': 0.5811664141181095}",20,12,-71.32012869631392,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 2}",1
55,False,"{'a': 0.5, 'e': 0.5753547499769285}",20,0,-44.695888738734304,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 0}",0
56,False,"{'a': 0.5, 'e': 0.5696012024771592}",20,9,-49.37569215125018,"{0: 7, 1: 1, 2: 2, 3: 0, 4: 1}",1
57,False,"{'a': 0.5, 'e': 0.5639051904523875}",30,3,-43.86289295783135,"{0: 20, 1: 3, 2: 2, 3: 2, 4: 0}",1
58,False,"{'a': 0.5, 'e': 0.5582661385478637}",20,0,-49.582968711948475,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
59,False,"{'a': 0.5, 'e': 0.5526834771623851}",20,2,-39.62349768422431,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
60,False,"{'a': 0.5, 'e': 0.5471566423907612}",20,0,-104.92158343046859,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 3}",0
61,False,"{'a': 0.5, 'e': 0.5416850759668536}",20,12,-4.9068373751699985,"{0: 6, 1: 1, 2: 1, 3: 0, 4: 0}",1
62,False,"{'a': 0.5, 'e': 0.536268225207185}",20,5,-5.818993153616686,"{0: 13, 1: 0, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.5, 'e': 0.5309055429551132}",30,0,-40.90805930215007,"{0: 24, 1: 1, 2: 4, 3: 1, 4: 0}",0
64,False,"{'a': 0.5, 'e': 0.525596487525562}",25,7,-59.66836795770953,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 1}",1
65,False,"{'a': 0.5, 'e': 0.5203405226503064}",25,18,-30.76068219722417,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
66,False,"{'a': 0.5, 'e': 0.5151371174238033}",20,0,-4.299594461723091,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
67,False,"{'a': 0.5, 'e': 0.5099857462495653}",25,14,5.527271830247252,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
68,False,"{'a': 0.5, 'e': 0.5048858887870696}",20,0,-25.28803099885856,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
69,False,"{'a': 0.5, 'e': 0.4998370298991989}",25,14,-40.30709948110803,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 1}",1
70,False,"{'a': 0.5, 'e': 0.49483865960020695}",25,0,-113.41810350286728,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 3}",0
71,False,"{'a': 0.5, 'e': 0.4898902730042049}",25,0,-2.3011527037854353,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.5, 'e': 0.48499137027416284}",30,0,-54.73111593732796,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
73,False,"{'a': 0.5, 'e': 0.4801414565714212}",30,12,22.090857595286266,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
74,False,"{'a': 0.5, 'e': 0.47534004200570695}",25,9,-6.430664124403792,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
75,False,"{'a': 0.5, 'e': 0.4705866415856499}",20,4,-5.955474845782928,"{0: 13, 1: 1, 2: 2, 3: 0, 4: 0}",1
76,False,"{'a': 0.5, 'e': 0.46588077516979337}",20,16,6.715862293448889,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
77,False,"{'a': 0.5, 'e': 0.46122196741809546}",25,0,-65.20215422543721,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 2}",0
78,False,"{'a': 0.5, 'e': 0.4566097477439145}",30,23,3.3138657155520956,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
79,False,"{'a': 0.5, 'e': 0.45204365026647536}",30,16,10.294307934408716,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
80,False,"{'a': 0.5, 'e': 0.4475232137638106}",20,5,-19.60003170515537,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 0}",1
81,False,"{'a': 0.5, 'e': 0.4430479816261725}",30,0,-148.99155904231375,"{0: 21, 1: 2, 2: 3, 3: 1, 4: 3}",0
82,False,"{'a': 0.5, 'e': 0.43861750180991077}",25,1,-130.62411731929026,"{0: 16, 1: 1, 2: 3, 3: 2, 4: 2}",1
83,False,"{'a': 0.5, 'e': 0.43423132679181164}",25,7,-3.3238323573055197,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 0}",1
84,False,"{'a': 0.5, 'e': 0.4298890135238935}",20,16,9.542727420457044,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
85,False,"{'a': 0.5, 'e': 0.4255901233886546}",20,0,-5.822133723296905,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
86,False,"{'a': 0.5, 'e': 0.421334222154768}",20,0,-25.71782162139024,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",1
87,False,"{'a': 0.5, 'e': 0.41712087993322033}",25,17,-10.620278805426437,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
88,False,"{'a': 0.5, 'e': 0.41294967113388814}",25,7,5.212579804689925,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 0}",1
89,False,"{'a': 0.5, 'e': 0.40882017442254925}",25,9,-13.927010322420344,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 1}",1
90,False,"{'a': 0.5, 'e': 0.4047319726783238}",20,0,-32.271661142590006,"{0: 18, 1: 0, 2: 0, 3: 1, 4: 1}",0
91,False,"{'a': 0.5, 'e': 0.40068465295154054}",35,0,-38.48631238685715,"{0: 30, 1: 0, 2: 4, 3: 0, 4: 1}",1
92,False,"{'a': 0.5, 'e': 0.3966778064220251}",35,13,-45.30849510923805,"{0: 16, 1: 0, 2: 4, 3: 2, 4: 0}",1
93,False,"{'a': 0.5, 'e': 0.39271102835780486}",25,1,-79.9926755185551,"{0: 18, 1: 2, 2: 2, 3: 0, 4: 2}",1
