trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-116.62590166176246,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
2,False,"{'a': 0.5, 'e': 1.0}",20,0,-13.51626523775273,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-102.597492059143,"{0: 8, 1: 8, 2: 3, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 1.0}",25,6,-72.46767842158391,"{0: 12, 1: 3, 2: 3, 3: 0, 4: 1}",1
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-195.86776496476023,"{0: 11, 1: 0, 2: 3, 3: 3, 4: 3}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,0,-120.65469290088782,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-69.5098223394579,"{0: 18, 1: 2, 2: 4, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-78.40752711482783,"{0: 18, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-151.2211664659706,"{0: 8, 1: 2, 2: 7, 3: 2, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-182.19990618444206,"{0: 11, 1: 2, 2: 10, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 1.0}",25,0,-163.6688461472057,"{0: 14, 1: 1, 2: 6, 3: 2, 4: 2}",0
12,False,"{'a': 0.5, 'e': 1.0}",30,0,-148.81188161809365,"{0: 19, 1: 2, 2: 6, 3: 1, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-124.54037977156833,"{0: 13, 1: 2, 2: 9, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-129.03671270637798,"{0: 16, 1: 1, 2: 6, 3: 0, 4: 2}",0
15,False,"{'a': 0.5, 'e': 1.0}",20,0,-17.4344185256884,"{0: 15, 1: 3, 2: 2, 3: 0, 4: 0}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-8.452940856228887,"{0: 16, 1: 3, 2: 1, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 1.0}",20,0,-74.26215194652369,"{0: 12, 1: 4, 2: 3, 3: 0, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-88.28743544964472,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 1.0}",20,1,-86.20417136371304,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 1.0}",20,0,-46.601150111082056,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-116.63026586708901,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",35,0,-153.2990489551624,"{0: 21, 1: 6, 2: 6, 3: 0, 4: 2}",0
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-75.23945501413506,"{0: 12, 1: 6, 2: 0, 3: 1, 4: 1}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-143.51515560139447,"{0: 12, 1: 2, 2: 9, 3: 1, 4: 1}",0
